pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
CHFJPY,2013-10-10 16:00:00+00:00,2013-10-10 16:00:00+00:00,2013-10-11 16:00:00+00:00,1,107.749,107.35873497767423,108.72466255581439,108.108,FRIDAY,0.9198877159438278
CHFJPY,2013-10-21 16:00:00+00:00,2013-10-21 16:00:00+00:00,2013-10-22 13:00:00+00:00,1,108.826,108.57720274464725,109.44799313838183,109.44799313838183,TP,2.4999999999999845
CHFJPY,2013-11-15 12:00:00+00:00,2013-11-15 12:00:00+00:00,2013-11-15 16:00:00+00:00,1,109.355,108.95591199108358,110.35272002229104,109.49,FRIDAY,0.33827125091163773
CHFJPY,2013-11-21 16:00:00+00:00,2013-11-21 16:00:00+00:00,2013-11-22 16:00:00+00:00,1,110.401,109.89509384463238,111.665765388419,111.279,FRIDAY,1.7354997378160426
CHFJPY,2013-11-27 12:00:00+00:00,2013-11-27 12:00:00+00:00,2013-11-29 16:00:00+00:00,1,112.513,112.09392678544674,113.56068303638315,113.272,FRIDAY,1.8111393752738651
CHFJPY,2013-12-06 12:00:00+00:00,2013-12-06 12:00:00+00:00,2013-12-06 16:00:00+00:00,1,114.007,113.49081783790248,115.29745540524382,114.781,FRIDAY,1.4994706458952778
CHFJPY,2013-12-26 12:00:00+00:00,2013-12-26 12:00:00+00:00,2013-12-27 08:00:00+00:00,1,117.021,116.72880929594498,117.75147676013754,117.75147676013754,TP,2.500000000000009
CHFJPY,2014-01-10 08:00:00+00:00,2014-01-10 08:00:00+00:00,2014-01-10 13:00:00+00:00,1,115.817,115.29670022006972,117.11774944982567,115.29670022006972,SL,-1.0000000000000022
CHFJPY,2014-01-23 12:00:00+00:00,2014-01-23 12:00:00+00:00,2014-01-23 20:00:00+00:00,1,115.357,114.82462984628918,116.68792538427704,114.82462984628918,SL,-0.9999999999999977
CHFJPY,2014-02-18 08:00:00+00:00,2014-02-18 08:00:00+00:00,2014-02-20 07:00:00+00:00,1,114.976,114.6289436563225,115.84364085919374,114.6289436563225,SL,-0.9999999999999876
CHFJPY,2014-03-06 08:00:00+00:00,2014-03-06 08:00:00+00:00,2014-03-06 14:00:00+00:00,1,115.706,115.31489033994042,116.68377415014898,116.68377415014898,TP,2.5000000000000058
CHFJPY,2014-03-07 12:00:00+00:00,2014-03-07 12:00:00+00:00,2014-03-07 16:00:00+00:00,1,117.452,116.9705145597891,118.65571360052725,117.532,FRIDAY,0.16615248005205888
CHFJPY,2014-04-01 08:00:00+00:00,2014-04-01 08:00:00+00:00,2014-04-02 15:00:00+00:00,1,116.999,116.62039456806455,117.94551357983859,116.999,BE,0.0
CHFJPY,2014-04-11 08:00:00+00:00,2014-04-11 08:00:00+00:00,2014-04-11 11:00:00+00:00,1,116.24,115.78663945753814,117.37340135615464,115.78663945753814,SL,-0.9999999999999848
CHFJPY,2014-04-16 08:00:00+00:00,2014-04-16 08:00:00+00:00,2014-04-16 14:00:00+00:00,1,116.352,115.96870490852471,117.31023772868822,115.96870490852471,SL,-1.0000000000000058
CHFJPY,2014-09-02 08:00:00+00:00,2014-09-02 08:00:00+00:00,2014-09-04 11:00:00+00:00,1,113.949,113.63857192628737,114.72507018428158,113.949,BE,0.0
CHFJPY,2014-09-10 08:00:00+00:00,2014-09-10 08:00:00+00:00,2014-09-10 12:00:00+00:00,1,114.208,113.80779086234134,115.20852284414667,113.80779086234134,SL,-0.9999999999999831
CHFJPY,2014-09-12 12:00:00+00:00,2014-09-12 12:00:00+00:00,2014-09-12 16:00:00+00:00,1,114.768,114.37027492730678,115.76231268173306,114.846,FRIDAY,0.19611537052924471
CHFJPY,2014-09-17 16:00:00+00:00,2014-09-17 16:00:00+00:00,2014-09-18 07:00:00+00:00,1,115.106,114.77617785009629,115.93055537475925,115.93055537475925,TP,2.4999999999999862
