pair,signal_dt,entry_dt,exit_dt,side,entry,stop,target,exit,reason,r
NZDUSD,2013-10-16 08:00:00+00:00,2013-10-16 08:00:00+00:00,2013-10-17 13:00:00+00:00,1,0.84246,0.8388015370366507,0.8516061574083732,0.8516061574083732,TP,2.499999999999996
NZDUSD,2013-10-17 16:00:00+00:00,2013-10-17 16:00:00+00:00,2013-10-17 22:00:00+00:00,1,0.85111,0.8465789258541401,0.8624376853646499,0.8465789258541401,SL,-0.9999999999999987
NZDUSD,2014-02-11 08:00:00+00:00,2014-02-11 08:00:00+00:00,2014-02-11 14:00:00+00:00,1,0.83179,0.8291443830473239,0.8384040423816903,0.8291443830473239,SL,-1.0000000000000187
NZDUSD,2014-02-12 08:00:00+00:00,2014-02-12 08:00:00+00:00,2014-02-12 15:00:00+00:00,1,0.83559,0.8321077237943043,0.8442956905142395,0.8321077237943043,SL,-0.9999999999999898
NZDUSD,2014-02-14 12:00:00+00:00,2014-02-14 12:00:00+00:00,2014-02-14 16:00:00+00:00,1,0.83739,0.8335589452704213,0.8469676368239467,0.83544,FRIDAY,-0.5089982100606656
NZDUSD,2014-02-27 12:00:00+00:00,2014-02-27 12:00:00+00:00,2014-02-28 16:00:00+00:00,1,0.8361,0.8327676153251139,0.8444309616872152,0.84015,FRIDAY,1.2153458844418712
NZDUSD,2014-03-05 12:00:00+00:00,2014-03-05 12:00:00+00:00,2014-03-06 16:00:00+00:00,1,0.84159,0.8386583355004953,0.8489191612487617,0.8489191612487617,TP,2.5000000000000173
NZDUSD,2014-03-07 12:00:00+00:00,2014-03-07 12:00:00+00:00,2014-03-07 13:00:00+00:00,1,0.85175,0.8484333477505728,0.8600416306235681,0.8484333477505728,SL,-1.0000000000000027
NZDUSD,2014-03-11 08:00:00+00:00,2014-03-11 08:00:00+00:00,2014-03-11 16:00:00+00:00,1,0.84947,0.8471174069771314,0.8553514825571712,0.8471174069771314,SL,-0.9999999999999994
NZDUSD,2014-03-13 08:00:00+00:00,2014-03-13 08:00:00+00:00,2014-03-13 18:00:00+00:00,1,0.85772,0.853388316064915,0.8685492098377126,0.853388316064915,SL,-0.9999999999999918
NZDUSD,2014-03-26 08:00:00+00:00,2014-03-26 08:00:00+00:00,2014-03-27 08:00:00+00:00,1,0.8604,0.8575722800794783,0.8674692998013044,0.8674692998013044,TP,2.499999999999986
NZDUSD,2014-04-08 12:00:00+00:00,2014-04-08 12:00:00+00:00,2014-04-10 01:00:00+00:00,1,0.86734,0.8644990341455495,0.8744424146361263,0.8744424146361263,TP,2.4999999999999916
NZDUSD,2014-04-22 12:00:00+00:00,2014-04-22 12:00:00+00:00,2014-04-23 12:00:00+00:00,1,0.86057,0.8582430194927965,0.8663874512680085,0.8582430194927965,SL,-1.0000000000000113
NZDUSD,2014-05-02 12:00:00+00:00,2014-05-02 12:00:00+00:00,2014-05-02 12:00:00+00:00,1,0.86451,0.8613857835866614,0.8723205410333466,0.8613857835866614,SL,-0.9999999999999928
NZDUSD,2014-05-05 16:00:00+00:00,2014-05-05 16:00:00+00:00,2014-05-06 08:00:00+00:00,1,0.86817,0.8663349168797182,0.8727577078007045,0.8727577078007045,TP,2.499999999999997
NZDUSD,2014-06-23 08:00:00+00:00,2014-06-23 08:00:00+00:00,2014-06-23 15:00:00+00:00,1,0.87411,0.8709950531135051,0.8818973672162376,0.8709950531135051,SL,-0.9999999999999836
NZDUSD,2014-07-08 12:00:00+00:00,2014-07-08 12:00:00+00:00,2014-07-11 16:00:00+00:00,1,0.87801,0.8749059891171813,0.8857700272070467,0.8802,FRIDAY,0.705538763450257
NZDUSD,2014-09-10 08:00:00+00:00,2014-09-10 08:00:00+00:00,2014-09-12 16:00:00+00:00,-1,0.82138,0.8253880785253915,0.811359803686521,0.81551,FRIDAY,1.4645421647338035
NZDUSD,2014-09-25 08:00:00+00:00,2014-09-25 08:00:00+00:00,2014-09-26 16:00:00+00:00,-1,0.79478,0.8002239134427234,0.7811702163931918,0.78758,FRIDAY,1.3225779718492972
NZDUSD,2014-11-03 16:00:00+00:00,2014-11-03 16:00:00+00:00,2014-11-04 21:00:00+00:00,-1,0.77249,0.7791489069026019,0.7558427327434952,0.7791489069026019,SL,-0.9999999999999925
NZDUSD,2014-11-25 12:00:00+00:00,2014-11-25 12:00:00+00:00,2014-11-26 06:00:00+00:00,-1,0.77903,0.7843040562103771,0.7658448594740571,0.7843040562103771,SL,-0.9999999999999932
NZDUSD,2014-12-03 12:00:00+00:00,2014-12-03 12:00:00+00:00,2014-12-04 16:00:00+00:00,-1,0.77638,0.7815205279608367,0.7635286800979082,0.7815205279608367,SL,-1.0000000000000073
NZDUSD,2014-12-08 08:00:00+00:00,2014-12-08 08:00:00+00:00,2014-12-08 19:00:00+00:00,-1,0.76311,0.768389000328249,0.7499124991793774,0.768389000328249,SL,-1.0000000000000009
NZDUSD,2015-01-02 12:00:00+00:00,2015-01-02 12:00:00+00:00,2015-01-02 16:00:00+00:00,-1,0.77267,0.7764966375038411,0.7631034062403972,0.77251,FRIDAY,0.04181216533819378
NZDUSD,2015-01-20 16:00:00+00:00,2015-01-20 16:00:00+00:00,2015-01-22 00:00:00+00:00,-1,0.76937,0.7753062319518694,0.7545294201203265,0.7545294201203265,TP,2.500000000000001
NZDUSD,2015-01-23 12:00:00+00:00,2015-01-23 12:00:00+00:00,2015-01-23 16:00:00+00:00,-1,0.7458,0.7528099526789357,0.7282751183026608,0.7491,FRIDAY,-0.47075924063170804
NZDUSD,2015-01-29 12:00:00+00:00,2015-01-29 12:00:00+00:00,2015-01-30 16:00:00+00:00,-1,0.72807,0.7351898030140953,0.7102704924647617,0.72592,FRIDAY,0.30197464673440577
NZDUSD,2015-02-24 08:00:00+00:00,2015-02-24 08:00:00+00:00,2015-02-25 00:00:00+00:00,-1,0.74593,0.7506085900404709,0.7342335248988228,0.7506085900404709,SL,-1.0000000000000007
NZDUSD,2015-03-11 16:00:00+00:00,2015-03-11 16:00:00+00:00,2015-03-11 20:00:00+00:00,-1,0.7216,0.7275838868918975,0.7066402827702565,0.7275838868918975,SL,-1.0000000000000018
NZDUSD,2015-03-18 08:00:00+00:00,2015-03-18 08:00:00+00:00,2015-03-18 13:00:00+00:00,-1,0.72872,0.7342817337368033,0.7148156656579919,0.7342817337368033,SL,-1.0000000000000009
NZDUSD,2015-05-07 16:00:00+00:00,2015-05-07 16:00:00+00:00,2015-05-08 16:00:00+00:00,-1,0.74436,0.7507040129632958,0.7284999675917606,0.74891,FRIDAY,-0.7172116492076283
NZDUSD,2015-05-11 16:00:00+00:00,2015-05-11 16:00:00+00:00,2015-05-12 21:00:00+00:00,-1,0.73493,0.7411969489915899,0.719262627521025,0.7411969489915899,SL,-0.9999999999999998
NZDUSD,2015-05-19 16:00:00+00:00,2015-05-19 16:00:00+00:00,2015-05-22 16:00:00+00:00,-1,0.73523,0.7416354547971213,0.7192163630071968,0.73062,FRIDAY,0.7196990917915465
NZDUSD,2015-05-26 08:00:00+00:00,2015-05-26 08:00:00+00:00,2015-05-28 11:00:00+00:00,-1,0.72811,0.7324508193665555,0.7172579515836113,0.7172579515836113,TP,2.5000000000000018
NZDUSD,2015-05-28 16:00:00+00:00,2015-05-28 16:00:00+00:00,2015-05-29 16:00:00+00:00,-1,0.71489,0.7206552204670418,0.7004769488323955,0.71106,FRIDAY,0.6643284540279194
NZDUSD,2015-06-11 12:00:00+00:00,2015-06-11 12:00:00+00:00,2015-06-12 16:00:00+00:00,-1,0.69902,0.7065067459018685,0.6803031352453288,0.69833,FRIDAY,0.09216287143226853
NZDUSD,2015-06-17 12:00:00+00:00,2015-06-17 12:00:00+00:00,2015-06-17 18:00:00+00:00,-1,0.69289,0.6973403108030274,0.6817642229924314,0.6973403108030274,SL,-0.9999999999999885
NZDUSD,2015-06-22 12:00:00+00:00,2015-06-22 12:00:00+00:00,2015-06-26 16:00:00+00:00,-1,0.68783,0.6928506174837145,0.6752784562907139,0.6831,FRIDAY,0.942115191078163
NZDUSD,2015-06-30 12:00:00+00:00,2015-06-30 12:00:00+00:00,2015-07-01 02:00:00+00:00,-1,0.67553,0.680600224067616,0.66285443983096,0.680600224067616,SL,-1.0000000000000109
NZDUSD,2015-07-02 08:00:00+00:00,2015-07-02 08:00:00+00:00,2015-07-02 13:00:00+00:00,-1,0.66752,0.6721539806617771,0.6559350483455572,0.6721539806617771,SL,-0.9999999999999962
NZDUSD,2015-07-16 08:00:00+00:00,2015-07-16 08:00:00+00:00,2015-07-17 16:00:00+00:00,-1,0.65231,0.6575955020248195,0.6390962449379509,0.6526,FRIDAY,-0.05486706818732327
NZDUSD,2015-07-31 08:00:00+00:00,2015-07-31 08:00:00+00:00,2015-07-31 12:00:00+00:00,-1,0.65614,0.661475074267281,0.6428023143317974,0.661475074267281,SL,-1.00000000000001
NZDUSD,2015-08-05 16:00:00+00:00,2015-08-05 16:00:00+00:00,2015-08-07 11:00:00+00:00,-1,0.65179,0.656977499473313,0.6388212513167174,0.656977499473313,SL,-0.9999999999999933
NZDUSD,2015-08-31 12:00:00+00:00,2015-08-31 12:00:00+00:00,2015-09-04 16:00:00+00:00,-1,0.64009,0.6463111870746234,0.6245370323134416,0.6279,FRIDAY,1.9594331200429262
NZDUSD,2015-09-07 12:00:00+00:00,2015-09-07 12:00:00+00:00,2015-09-08 13:00:00+00:00,-1,0.62574,0.6312795854988705,0.6118910362528237,0.6312795854988705,SL,-1.0000000000000093
NZDUSD,2015-09-21 16:00:00+00:00,2015-09-21 16:00:00+00:00,2015-09-24 18:00:00+00:00,-1,0.63082,0.6368827202681299,0.6156631993296755,0.6368827202681299,SL,-0.9999999999999986
NZDUSD,2015-11-18 16:00:00+00:00,2015-11-18 16:00:00+00:00,2015-11-18 22:00:00+00:00,-1,0.64354,0.6474318971345415,0.6338102571636461,0.6474318971345415,SL,-0.9999999999999969
NZDUSD,2016-01-15 12:00:00+00:00,2016-01-15 12:00:00+00:00,2016-01-15 16:00:00+00:00,-1,0.64002,0.6457338711956638,0.6257353220108406,0.64387,FRIDAY,-0.6737988778819097
NZDUSD,2016-01-20 08:00:00+00:00,2016-01-20 08:00:00+00:00,2016-01-20 18:00:00+00:00,-1,0.63591,0.6418487059126078,0.6210632352184803,0.6418487059126078,SL,-0.999999999999992
NZDUSD,2016-04-28 08:00:00+00:00,2016-04-28 08:00:00+00:00,2016-04-29 16:00:00+00:00,1,0.69616,0.6903095165601385,0.7107862085996537,0.69826,FRIDAY,0.35894469603860785
NZDUSD,2016-06-07 16:00:00+00:00,2016-06-07 16:00:00+00:00,2016-06-08 21:00:00+00:00,1,0.69793,0.6929011168461134,0.7105022078847166,0.7105022078847166,TP,2.4999999999999916
NZDUSD,2016-06-21 08:00:00+00:00,2016-06-21 08:00:00+00:00,2016-06-23 10:00:00+00:00,1,0.71357,0.7090521570676789,0.7248646073308028,0.7248646073308028,TP,2.499999999999996
NZDUSD,2016-07-01 12:00:00+00:00,2016-07-01 12:00:00+00:00,2016-07-01 16:00:00+00:00,1,0.71816,0.7123573667644166,0.7326665830889586,0.71656,FRIDAY,-0.2757368827290995
NZDUSD,2016-07-04 12:00:00+00:00,2016-07-04 12:00:00+00:00,2016-07-05 15:00:00+00:00,1,0.7206,0.7153149679505945,0.7338125801235139,0.7153149679505945,SL,-1.0000000000000009
NZDUSD,2016-07-12 12:00:00+00:00,2016-07-12 12:00:00+00:00,2016-07-13 01:00:00+00:00,1,0.73119,0.726062297710472,0.7440092557238199,0.726062297710472,SL,-1.0
NZDUSD,2016-08-02 16:00:00+00:00,2016-08-02 16:00:00+00:00,2016-08-03 09:00:00+00:00,1,0.72346,0.7180261542741831,0.737044614314542,0.7180261542741831,SL,-1.000000000000002
NZDUSD,2016-08-10 12:00:00+00:00,2016-08-10 12:00:00+00:00,2016-08-10 20:00:00+00:00,1,0.72544,0.7204018749538506,0.7380353126153734,0.7204018749538506,SL,-1.0000000000000095
NZDUSD,2016-09-02 12:00:00+00:00,2016-09-02 12:00:00+00:00,2016-09-02 16:00:00+00:00,1,0.73025,0.7264667758296165,0.7397080604259586,0.72838,FRIDAY,-0.4942873897452362
NZDUSD,2016-09-07 08:00:00+00:00,2016-09-07 08:00:00+00:00,2016-09-08 16:00:00+00:00,1,0.74399,0.7395433866216639,0.7551065334458407,0.7395433866216639,SL,-0.9999999999999899
NZDUSD,2016-09-20 08:00:00+00:00,2016-09-20 08:00:00+00:00,2016-09-20 17:00:00+00:00,1,0.73508,0.7307470793160434,0.7459123017098912,0.7307470793160434,SL,-1.0000000000000022
NZDUSD,2016-11-08 16:00:00+00:00,2016-11-08 16:00:00+00:00,2016-11-09 04:00:00+00:00,1,0.73653,0.7329846672599367,0.7453933318501581,0.7329846672599367,SL,-1.0000000000000127
NZDUSD,2016-12-14 16:00:00+00:00,2016-12-14 16:00:00+00:00,2016-12-14 19:00:00+00:00,1,0.72339,0.7197224511287638,0.7325588721780905,0.7197224511287638,SL,-1.0000000000000024
NZDUSD,2017-01-03 16:00:00+00:00,2017-01-03 16:00:00+00:00,2017-01-03 16:00:00+00:00,-1,0.69019,0.6942067882853212,0.6801480292866968,0.6942067882853212,SL,-0.999999999999995
NZDUSD,2017-01-31 16:00:00+00:00,2017-01-31 16:00:00+00:00,2017-01-31 22:00:00+00:00,1,0.73353,0.7291735516805676,0.7444211207985809,0.7291735516805676,SL,-1.000000000000008
NZDUSD,2017-02-23 08:00:00+00:00,2017-02-23 08:00:00+00:00,2017-02-24 16:00:00+00:00,1,0.72138,0.7181281787154674,0.7295095532113316,0.71998,FRIDAY,-0.4305279649466602
NZDUSD,2017-04-05 16:00:00+00:00,2017-04-05 16:00:00+00:00,2017-04-05 22:00:00+00:00,-1,0.69535,0.6979360159011193,0.6888849602472018,0.6979360159011193,SL,-0.9999999999999997
NZDUSD,2017-04-12 12:00:00+00:00,2017-04-12 12:00:00+00:00,2017-04-12 19:00:00+00:00,-1,0.69193,0.694705352519984,0.6849916187000403,0.694705352519984,SL,-1.0000000000000178
NZDUSD,2017-04-25 16:00:00+00:00,2017-04-25 16:00:00+00:00,2017-04-27 12:00:00+00:00,-1,0.69474,0.6977987127479274,0.6870932181301818,0.6870932181301818,TP,2.5000000000000018
NZDUSD,2017-04-27 16:00:00+00:00,2017-04-27 16:00:00+00:00,2017-04-27 23:00:00+00:00,-1,0.68529,0.6887442967011294,0.6766542582471764,0.6887442967011294,SL,-0.9999999999999961
NZDUSD,2017-05-04 16:00:00+00:00,2017-05-04 16:00:00+00:00,2017-05-05 07:00:00+00:00,-1,0.6853,0.6888757720332505,0.676360569916874,0.6888757720332505,SL,-1.000000000000011
NZDUSD,2017-06-23 08:00:00+00:00,2017-06-23 08:00:00+00:00,2017-06-23 16:00:00+00:00,1,0.72841,0.7249260742827675,0.7371198142930814,0.72928,FRIDAY,0.2497182978663291
NZDUSD,2017-06-26 16:00:00+00:00,2017-06-26 16:00:00+00:00,2017-06-27 17:00:00+00:00,1,0.73028,0.727009426337213,0.7384564341569678,0.727009426337213,SL,-0.9999999999999859
NZDUSD,2017-07-13 08:00:00+00:00,2017-07-13 08:00:00+00:00,2017-07-14 16:00:00+00:00,1,0.73099,0.7274359274130086,0.7398751814674789,0.73297,FRIDAY,0.557107361072787
NZDUSD,2017-07-20 16:00:00+00:00,2017-07-20 16:00:00+00:00,2017-07-21 16:00:00+00:00,1,0.73938,0.7352839321029303,0.7496201697426742,0.74363,FRIDAY,1.037580456867041
NZDUSD,2017-10-26 16:00:00+00:00,2017-10-26 16:00:00+00:00,2017-10-27 16:00:00+00:00,-1,0.68587,0.6898480579159796,0.6759248552100509,0.68697,FRIDAY,-0.27651683892819995
NZDUSD,2017-11-14 08:00:00+00:00,2017-11-14 08:00:00+00:00,2017-11-14 19:00:00+00:00,-1,0.6855,0.6888927422211782,0.6770181444470544,0.6888927422211782,SL,-1.0000000000000027
NZDUSD,2017-11-16 12:00:00+00:00,2017-11-16 12:00:00+00:00,2017-11-17 01:00:00+00:00,-1,0.68395,0.6873454040745771,0.6754614898135569,0.6873454040745771,SL,-0.9999999999999926
NZDUSD,2017-11-17 08:00:00+00:00,2017-11-17 08:00:00+00:00,2017-11-17 16:00:00+00:00,-1,0.68267,0.6861698059031616,0.673920485242096,0.67968,FRIDAY,0.8543330923863465
NZDUSD,2017-12-07 08:00:00+00:00,2017-12-07 08:00:00+00:00,2017-12-08 16:00:00+00:00,-1,0.68373,0.6874094738092333,0.6745313154769166,0.68486,FRIDAY,-0.30710912988820105
NZDUSD,2018-01-23 16:00:00+00:00,2018-01-23 16:00:00+00:00,2018-01-24 21:00:00+00:00,1,0.73597,0.7317452172818586,0.7465319567953534,0.73597,BE,0.0
NZDUSD,2018-01-31 08:00:00+00:00,2018-01-31 08:00:00+00:00,2018-02-01 07:00:00+00:00,1,0.73924,0.7341044566178938,0.7520788584552656,0.7341044566178938,SL,-0.9999999999999973
