hypothesis,family,pair,signal_dt,entry_dt,exit_dt,side,r,reason,ambiguous_stop_first
S2-14,impulse_retrace,EURUSD,2013-01-16 14:30:00+00:00,2013-01-16 14:45:00+00:00,2013-01-16 15:15:00+00:00,-1,-1.0,SL,False
S2-14,impulse_retrace,EURUSD,2013-01-16 15:45:00+00:00,2013-01-16 16:00:00+00:00,2013-01-16 19:45:00+00:00,-1,0.3013809128782844,TIME,False
S2-14,impulse_retrace,EURUSD,2013-01-28 15:15:00+00:00,2013-01-28 15:30:00+00:00,2013-01-28 16:30:00+00:00,1,1.25,TP,False
S2-14,impulse_retrace,EURUSD,2013-01-29 12:30:00+00:00,2013-01-29 12:45:00+00:00,2013-01-29 13:15:00+00:00,-1,-0.9999999999999468,SL,False
S2-14,impulse_retrace,EURUSD,2013-02-08 14:45:00+00:00,2013-02-08 15:00:00+00:00,2013-02-08 16:00:00+00:00,-1,0.3610775549649674,FRIDAY,False
S2-14,impulse_retrace,EURUSD,2013-02-22 13:30:00+00:00,2013-02-22 13:45:00+00:00,2013-02-22 14:45:00+00:00,-1,1.25,TP,False
S2-14,impulse_retrace,EURUSD,2013-02-25 14:45:00+00:00,2013-02-25 15:00:00+00:00,2013-02-25 15:15:00+00:00,1,-1.000000000000068,SL,False
S2-14,impulse_retrace,EURUSD,2013-03-12 14:45:00+00:00,2013-03-12 15:00:00+00:00,2013-03-12 15:15:00+00:00,1,-0.9999999999999772,SL,False
S2-14,impulse_retrace,EURUSD,2013-03-12 15:30:00+00:00,2013-03-12 15:45:00+00:00,2013-03-12 19:30:00+00:00,1,0.9040521242413424,TIME,False
S2-14,impulse_retrace,EURUSD,2013-03-15 12:30:00+00:00,2013-03-15 12:45:00+00:00,2013-03-15 13:15:00+00:00,1,-0.9999999999999736,SL,False
S2-14,impulse_retrace,EURUSD,2013-03-26 12:30:00+00:00,2013-03-26 12:45:00+00:00,2013-03-26 13:15:00+00:00,-1,-0.9999999999999544,SL,False
S2-14,impulse_retrace,EURUSD,2013-04-19 14:30:00+00:00,2013-04-19 14:45:00+00:00,2013-04-19 14:45:00+00:00,1,-1.0000000000000175,SL,False
S2-14,impulse_retrace,EURUSD,2013-04-24 14:30:00+00:00,2013-04-24 14:45:00+00:00,2013-04-24 16:45:00+00:00,-1,-0.9999999999999298,SL,False
S2-14,impulse_retrace,EURUSD,2013-04-26 12:45:00+00:00,2013-04-26 13:00:00+00:00,2013-04-26 13:45:00+00:00,-1,1.249999999999926,TP,False
S2-14,impulse_retrace,EURUSD,2013-05-01 13:15:00+00:00,2013-05-01 13:30:00+00:00,2013-05-01 14:00:00+00:00,1,-1.000000000000057,SL,False
S2-14,impulse_retrace,EURUSD,2013-05-01 14:15:00+00:00,2013-05-01 14:30:00+00:00,2013-05-01 15:30:00+00:00,1,-0.999999999999977,SL,False
S2-14,impulse_retrace,EURUSD,2013-05-17 14:45:00+00:00,2013-05-17 15:00:00+00:00,2013-05-17 16:00:00+00:00,-1,0.2585199062773622,FRIDAY,False
S2-14,impulse_retrace,EURUSD,2013-05-29 15:15:00+00:00,2013-05-29 15:30:00+00:00,2013-05-29 15:30:00+00:00,1,-1.0000000000000393,SL,False
S2-14,impulse_retrace,EURUSD,2013-06-10 14:15:00+00:00,2013-06-10 14:30:00+00:00,2013-06-10 15:15:00+00:00,-1,-1.000000000000027,SL,False
S2-14,impulse_retrace,EURUSD,2013-06-10 15:45:00+00:00,2013-06-10 16:00:00+00:00,2013-06-10 17:30:00+00:00,-1,-1.0000000000000215,SL,False
S2-14,impulse_retrace,EURUSD,2013-06-28 13:30:00+00:00,2013-06-28 13:45:00+00:00,2013-06-28 13:45:00+00:00,1,-1.000000000000084,SL,False
S2-14,impulse_retrace,EURUSD,2013-07-16 12:30:00+00:00,2013-07-16 12:45:00+00:00,2013-07-16 13:15:00+00:00,1,-0.9999999999999328,SL,False
S2-14,impulse_retrace,EURUSD,2013-07-16 13:15:00+00:00,2013-07-16 13:30:00+00:00,2013-07-16 14:45:00+00:00,1,1.2500000000000189,TP,False
